Substrate_Type,Deposition_Method,Material_Type,Film_Thickness_nm,Annealing_Temp_C,Nanostructure_Size_nm,Gate_Length_um,Gate_Width_um,Mobility_cm2V-1s-1,Threshold_Voltage_V,On_Off_Ratio,Subthreshold_Swing_Vdec,Gate_Density_gates_per_mm2,Bending_Radius_mm,Cycles_to_Failure,Power_Consumption_mW,SNN_Accuracy_%,Response_Time_ms,Temperature_Stability_%,Transparency_%,Device_Quality
Polyimide,Sputtering,IGZO,121.8995479797976,228.55875516186867,23.005305536567487,2.1328268652912805,85.89213301586234,57.68516416436066,-0.3857231077137666,21887247.21415649,0.16541938544321944,415.389475282738,6.4907557476227975,15364,0.614734970971873,96.74744176840706,3.093770869299818,92.86816098497555,71.39769702772183,High
PEN,Solution,IGZO,66.12937683339575,320.8443812681736,15.823190054120227,5.027001472906255,89.5965525481096,50.3347392257581,0.7790536966643131,52198277.05681705,0.3171878385832308,671.8093251820176,22.032794750074864,37965,3.0735959133540254,71.03641800009656,4.558655524988359,97.24672063114858,94.4233302611787,Low
Polyimide,ALD,IGZO,73.57702093416032,304.6178083394932,13.677598863522661,7.509863944103053,107.7667401661767,36.06627901945846,2.299810544357395,15542776.817976594,0.057081191168094986,1124.8207042534718,21.66436134986094,29794,5.318526825599205,92.23499202567183,3.9753558216111675,96.24002769691563,67.1898139808342,Medium
Polyimide,ALD,ZnO,91.45008568346019,211.99998743435788,7.043750896311133,1.820520949391238,144.7032107535177,14.88113312102653,-0.4234955385036392,66664672.52556255,0.16679851189924466,1575.5227023683103,29.074638985347733,11293,4.709756023435456,89.45059662168819,2.860556895305514,91.00487774991683,63.59850351808687,Low
Polyimide,ALD,IGZO,127.96947933262919,196.4079657802212,44.26898639160897,4.680675213131735,182.1591764492809,10.486995673656331,0.3684619050794882,60538309.358143605,0.3476219350302451,710.3576677983153,10.405381160558603,10332,9.996729466918033,71.43796414519606,0.4734470554229744,86.24108027126286,70.9399406733035,Low
PEN,ALD,ZnO,28.93266822737481,241.64693007856675,21.369490452029712,5.0870871068959955,36.16947878868364,7.998153945097256,1.2679107931649476,8717334.138646947,0.06442821333806227,777.1266179096705,23.18047333829089,1615,3.9487700559574095,85.7752337903179,3.2983448538227993,96.52750161044167,90.99546763000062,Low
Polyimide,ALD,IGZO,75.15859516503545,306.26976812288126,79.20738243347236,2.5167135958516176,20.32613868624484,41.6589207481961,0.6653466816379612,3661672.734343573,0.08744081742902074,586.6866818301228,14.153827313533611,46612,3.931290686617658,84.93675002697822,2.680122228652476,87.53051543410366,78.26481805733496,Medium
Polyimide,ALD,IGZO:ZnO Hybrid,30.74029624970493,342.03355694574907,48.08275669041543,1.5978045784660015,13.520934382923324,49.41449404688962,0.5677601995664285,62032662.3723326,0.18202826515360315,583.7577256610812,17.63723816525178,13401,5.085459596403157,90.05449252723233,1.0024842612746696,85.24565359717718,64.74775370780227,High
Polyimide,ALD,ZnO,86.90548625455651,302.7158137733145,15.34139520170078,8.445998768363577,37.28806183307509,32.97761728762434,0.13129379094955618,29436434.46113419,0.4450121593740432,1902.8413072001135,24.860707956815627,42936,1.9840007916851754,72.248410936666,4.423040304378727,97.64954012805987,67.08746673614333,Low
PEN,Sputtering,IGZO:ZnO Hybrid,136.8571071208106,321.041397003674,56.6571905608524,5.273423672746272,135.01040229850892,8.009279615850197,1.139908474987163,8653710.859808119,0.3941987720743833,1307.3686412758912,8.215861260531316,30372,8.775413787295664,93.35308477452395,1.7819181150038421,93.67380768005079,70.89412317523471,Low
